Bug_ID,Project,Module,Bug Title,Severity,Priority,Steps to Reproduce,Expected Result,Actual Result,Status,Reported By,Reported Date,Fixed By,Fixed Date
BUG001,Expensio AI,Auth / RBAC,Regular user can access /admin route by typing URL manually,Critical,High,"1. Login as User 2. Type https://app-url/admin in browser address bar 3. Press Enter",User should be redirected to their dashboard or see Access Denied page,Admin panel partially loads before redirect kicks in — brief data exposure possible,Closed,Tanmay Naigaonkar,2025-01-20,Dev Team,2025-01-22
BUG002,Expensio AI,Expense Module,No validation on negative expense amount,Major,Medium,"1. Login as User 2. Click Add Expense 3. Enter -500 in amount field 4. Submit form",Validation error: 'Amount must be a positive number',Expense gets saved with negative value and appears in dashboard as -₹500,Closed,Tanmay Naigaonkar,2025-01-21,Dev Team,2025-01-23
BUG003,Expensio AI,Auth / JWT,Expired JWT token returns 500 instead of 401,Major,High,"1. Wait for token to expire (or manually set expiry) 2. Make API call to GET /api/expenses",HTTP 401 Unauthorized with message 'Token expired',HTTP 500 Internal Server Error — exposes stack trace in response body,Closed,Tanmay Naigaonkar,2025-01-21,Dev Team,2025-01-24
BUG004,Expensio AI,Dashboard,Total expense amount does not update after deleting an expense,Minor,Medium,"1. Login 2. Note total expense amount 3. Delete one expense 4. Observe total",Total should decrease by the deleted amount immediately,Total remains unchanged until page is manually refreshed,Closed,Tanmay Naigaonkar,2025-01-22,Dev Team,2025-01-25
BUG005,Expensio AI,AI Chatbot,Chatbot returns generic response for valid expense queries,Minor,Low,"1. Login 2. Open chatbot 3. Type 'What did I spend most on this month?'",Chatbot responds with category breakdown from user's data,Chatbot responds with 'I can help with expenses' without actual data,Open,Tanmay Naigaonkar,2025-01-22,,
BUG006,Expensio AI,Login,Login button remains disabled briefly after correct credentials entered,Trivial,Low,"1. Open login page 2. Quickly enter email and password 3. Click Login immediately",Login button should be active and respond to click,Button disabled for ~1 second causing user confusion,Closed,Tanmay Naigaonkar,2025-01-23,Dev Team,2025-01-26
BUG007,AttenTrak,CSV Export,Date format in exported CSV uses YYYY-MM-DD instead of DD-MM-YYYY,Major,High,"1. Login as Admin 2. Select a class 3. Click Export CSV 4. Open downloaded file 5. Check Date column",Dates in DD-MM-YYYY format,Dates exported as YYYY-MM-DD — causes confusion and breaks data import tools,Closed,Tanmay Naigaonkar,2025-02-01,Dev Team,2025-02-03
BUG008,AttenTrak,RBAC,User can see class list of other admins in dropdown,Critical,High,"1. Login as User 2. Open class selection dropdown",Only classes assigned to the logged-in user's admin should appear,All classes from all admins visible to any user,Closed,Tanmay Naigaonkar,2025-02-02,Dev Team,2025-02-04
BUG009,AttenTrak,Real-time Sync,Attendance dashboard does not auto-update on slow network,Major,Medium,"1. Throttle network to Slow 3G in DevTools 2. Scan RFID 3. Observe dashboard",Attendance should update within 5-10 seconds even on slow network,Dashboard requires manual refresh on connections below 1Mbps,Open,Tanmay Naigaonkar,2025-02-02,,
BUG010,AttenTrak,CSV Export,Exporting attendance for empty class throws unhandled error,Major,High,"1. Create a class with no students added 2. Click Export CSV",Empty CSV file downloaded with column headers only,Browser shows 'Something went wrong' toast — no file downloaded,Closed,Tanmay Naigaonkar,2025-02-03,Dev Team,2025-02-05
